sample_id,measured_shape_v3,atlas_page,atlas_position,daily_csv
syn_b1_p0_120,长期下降,,,
syn_b1_p0_128,长期下降,,,
syn_b1_p0_137,长期下降,,,
syn_b1_p0_138,长期下降,,,
syn_b1_p0_142,长期下降,,,
syn_b1_p0_145,长期下降,,,
syn_b1_p0_146,长期下降,,,
syn_b1_p0_147,长期下降,,,
syn_b1_p0_150,长期下降,,,
syn_b1_p0_156,长期下降,,,
syn_b1_p0_161,长期下降,,,
syn_b1_p0_165,长期下降,,,
syn_b1_p0_170,长期下降,,,
syn_b1_p0_172,长期下降,,,
syn_b1_p0_178,长期下降,,,
syn_b1_p0_180,长期下降,,,
syn_b1_p0_186,长期下降,,,
syn_b1_p0_189,长期下降,,,
syn_b1_p0_191,长期下降,,,
syn_b1_p0_198,长期下降,,,
syn_b1_p0_204,长期下降,,,
syn_b1_p0_205,长期下降,,,
syn_b1_p0_206,长期下降,,,
syn_b1_p0_207,长期下降,,,
syn_b1_p0_208,长期下降,,,
syn_b1_p0_209,长期下降,,,
syn_b1_p0_210,长期下降,,,
syn_b1_p0_212,长期下降,,,
syn_b1_p0_213,长期下降,,,
syn_b1_p0_214,长期下降,,,
syn_b1_p0_215,长期下降,,,
syn_b1_p0_216,长期下降,,,
syn_b1_p0_217,长期下降,,,
syn_b1_p0_218,长期下降,,,
syn_b1_p0_220,长期下降,,,
syn_b1_p0_221,长期下降,,,
syn_b1_p0_222,长期下降,,,
syn_b1_p0_223,长期下降,,,
syn_b1_p0_224,长期下降,,,
syn_b1_p0_225,长期下降,,,
syn_b1_p0_226,长期下降,,,
syn_b1_p0_227,长期下降,,,
syn_b1_p0_229,长期下降,,,
syn_b1_p0_231,长期下降,,,
syn_b1_p0_232,长期下降,,,
syn_b1_p0_233,长期下降,,,
syn_b1_p0_234,长期下降,,,
syn_b1_p0_235,长期下降,,,
syn_b1_p0_236,长期下降,,,
syn_b1_p0_237,长期下降,,,
syn_b1_p0_238,长期下降,,,
syn_b1_p0_239,长期下降,,,
syn_b1_p0_241,长期下降,,,
syn_b1_p0_242,长期下降,,,
syn_b1_p0_244,长期下降,,,
syn_b1_p0_245,长期下降,,,
syn_b1_p0_248,长期下降,,,
syn_b1_p0_250,长期下降,,,
syn_b1_p0_251,长期下降,,,
syn_b1_p0_253,长期下降,,,
syn_b1_p0_255,长期下降,,,
syn_b1_p0_256,长期下降,,,
syn_b1_p0_257,长期下降,,,
syn_b1_p0_258,长期下降,,,
syn_b1_p0_259,长期下降,,,
v2_t06_contract_r00,长期下降,,,
v2_t13_contract_r02,长期下降,,,
business_102_a1_m_abundant_t02,长期波动或平稳,,,
business_102_a2_l_abundant_t07,长期波动或平稳,,,
business_102_a2_l_abundant_t10,长期波动或平稳,,,
business_102_b1_s_abundant_t01,长期波动或平稳,,,
business_102_b3_m_abundant_t02,长期波动或平稳,,,
business_102_c1_m_abundant_t04,长期波动或平稳,,,
business_102_c2_m_abundant_t02,长期波动或平稳,,,
business_102_c2_s_tight_t01,长期波动或平稳,,,
business_102_c2_s_tight_t02,长期波动或平稳,,,
business_102_c3_l_tight_t01,长期波动或平稳,,,
business_102_c4_m_abundant_t03,长期波动或平稳,,,
business_102_d1_s_abundant_t09,长期波动或平稳,,,
business_102_d4_m_abundant_t07,长期波动或平稳,,,
business_102_d4_m_abundant_t08,长期波动或平稳,,,
business_102_d4_m_abundant_t10,长期波动或平稳,,,
business_102_d4_m_abundant_t12,长期波动或平稳,,,
business_102_d4_s_abundant_t01,长期波动或平稳,,,
business_102_d4_s_abundant_t02,长期波动或平稳,,,
business_102_e1_m_abundant_t01,长期波动或平稳,,,
business_102_e1_m_abundant_t02,长期波动或平稳,,,
business_102_e1_m_abundant_t03,长期波动或平稳,,,
business_102_e1_s_abundant_t01,长期波动或平稳,,,
business_102_e1_s_abundant_t02,长期波动或平稳,,,
business_102_e1_s_tight_t01,长期波动或平稳,,,
business_102_e1_s_tight_t02,长期波动或平稳,,,
business_102_e3_l_abundant_t01,长期波动或平稳,,,
business_102_e3_l_abundant_t02,长期波动或平稳,,,
business_102_e3_m_abundant_t07,长期波动或平稳,,,
business_102_e3_m_abundant_t08,长期波动或平稳,,,
business_102_e3_m_abundant_t12,长期波动或平稳,,,
business_102_e3_s_abundant_t01,长期波动或平稳,,,
matrix_t10_f03_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t12_f03_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t12_f03_c02_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t14_f02_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t14_f03_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t14_f04_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t17_f02_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t17_f03_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t19_f03_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t20_f01_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t20_f03_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t21_f01_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t22_f01_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t22_f02_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t22_f03_c01_calendar01_revision01_revision01,长期波动或平稳,,,
matrix_t22_f04_c01_calendar01_revision01_revision01,长期波动或平稳,,,
s5_t01_009,长期波动或平稳,,,
s5_t03_001,长期波动或平稳,,,
s5_t03_002,长期波动或平稳,,,
s5_t03_003,长期波动或平稳,,,
s5_t03_004,长期波动或平稳,,,
s5_t03_005,长期波动或平稳,,,
s5_t03_006,长期波动或平稳,,,
s5_t03_007,长期波动或平稳,,,
s5_t03_008,长期波动或平稳,,,
s5_t03_009,长期波动或平稳,,,
s5_t03_010,长期波动或平稳,,,
s5_t04_001,长期波动或平稳,,,
s5_t04_002,长期波动或平稳,,,
s5_t04_003,长期波动或平稳,,,
s5_t04_004,长期波动或平稳,,,
s5_t04_005,长期波动或平稳,,,
s5_t04_007,长期波动或平稳,,,
s5_t04_008,长期波动或平稳,,,
s5_t05_001,长期波动或平稳,,,
s5_t07_001,长期波动或平稳,,,
s5_t07_002,长期波动或平稳,,,
s5_t07_004,长期波动或平稳,,,
s5_t07_005,长期波动或平稳,,,
s5_t08_001,长期波动或平稳,,,
s5_t08_002,长期波动或平稳,,,
s5_t08_003,长期波动或平稳,,,
s5_t09_001,长期波动或平稳,,,
s5_t09_002,长期波动或平稳,,,
s5_t09_003,长期波动或平稳,,,
s5_t10_001,长期波动或平稳,,,
s5_t10_002,长期波动或平稳,,,
s5_t11_001,长期波动或平稳,,,
s5_t11_002,长期波动或平稳,,,
s5_t11_003,长期波动或平稳,,,
s5_t12_002,长期波动或平稳,,,
s5_t12_004,长期波动或平稳,,,
s5_t13_001,长期波动或平稳,,,
s5_t13_002,长期波动或平稳,,,
s5_t13_003,长期波动或平稳,,,
s5_t15_001,长期波动或平稳,,,
s5_t15_002,长期波动或平稳,,,
s5_t17_002,长期波动或平稳,,,
s5_t18_001,长期波动或平稳,,,
s5_t19_002,长期波动或平稳,,,
s5_t20_001,长期波动或平稳,,,
s5_t20_002,长期波动或平稳,,,
s5_t21_001,长期波动或平稳,,,
s5_t22_001,长期波动或平稳,,,
syn_b1_p0_039,长期波动或平稳,,,
syn_b1_p0_044,长期波动或平稳,,,
syn_b1_p0_069,长期波动或平稳,,,
syn_b1_p0_074,长期波动或平稳,,,
syn_b1_p0_093,长期波动或平稳,,,
syn_b1_p0_110,长期波动或平稳,,,
syn_b1_p0_123,长期波动或平稳,,,
syn_b1_p0_144,长期波动或平稳,,,
syn_b1_p0_162,长期波动或平稳,,,
syn_b1_p0_173,长期波动或平稳,,,
syn_b1_p0_201,长期波动或平稳,,,
syn_b1_p0_228,长期波动或平稳,,,
syn_b1_p0_247,长期波动或平稳,,,
syn_b1_p0_254,长期波动或平稳,,,
syn_b1_p0_260,长期波动或平稳,,,
v2_t03_contract_r01,长期波动或平稳,,,
v2_t04_contract_r00,长期波动或平稳,,,
v2_t08_contract_r03,长期波动或平稳,,,
v2_t10_contract_r00,长期波动或平稳,,,
v2_t12_contract_r01,长期波动或平稳,,,
v2_t14_contract_r02,长期波动或平稳,,,
v2_t15_contract_r02,长期波动或平稳,,,
v2_t22_contract_r02,长期波动或平稳,,,
